epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
122,9074.75,1.448,0.92829,0.00829,0.91057,0.90434,0.95604,0.7034,1.19869,0.53537,0.0075,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,9147.51,1.44632,0.94169,0.00833,0.89292,0.90988,0.95681,0.70518,1.19595,0.53623,0.00747,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,9220.12,1.45308,0.95328,0.00849,0.92898,0.90373,0.95718,0.70647,1.19379,0.53529,0.00745,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,9291.63,1.45006,0.9223,0.00841,0.92682,0.89459,0.9564,0.70769,1.1913,0.5446,0.00745,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,9364.83,1.43954,0.91652,0.0081,0.92745,0.90579,0.95611,0.70826,1.18941,0.54429,0.00745,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,9435.49,1.42433,0.9218,0.00825,0.90945,0.90089,0.95529,0.7029,1.19031,0.54529,0.00745,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,9509.27,1.42508,0.91785,0.00811,0.89341,0.90401,0.95481,0.70329,1.18942,0.54546,0.00744,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,9581.71,1.43885,0.92332,0.00822,0.9033,0.90376,0.95437,0.70361,1.19052,0.54387,0.00746,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,9653.96,1.42845,0.91908,0.00812,0.90287,0.90652,0.95457,0.70631,1.1893,0.54473,0.00749,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,9725.11,1.41449,0.91067,0.00808,0.90102,0.90142,0.95559,0.71128,1.19091,0.54082,0.00748,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,9797.49,1.43511,0.90466,0.00809,0.90372,0.90251,0.9558,0.70447,1.19088,0.54252,0.00747,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,9870.91,1.42061,0.89395,0.00794,0.90058,0.90455,0.95551,0.70538,1.19113,0.54385,0.00748,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
